doi,sentence
10/1088_1361_6528_aac73b_superior_ionic_and_electronic_properties,"Here, we propose ReN2 monolayer as a superior two-dimensional material for sodium-ion batteries."
10/1016_j_jhazmat_2019_121965_prussian_blue_analogue_functionalized_magnetic,"And the characteristic band occurred at 2043 cm -1 corresponds to Fe II -CN stretching vibration, suggesting the successful synthesis of Prussian blue-functionalized magnetic microgel (Figure 1E, trace c) 35 ."
10/48676_unibo_amsdottorato_10734_synthesis_and_characterization_of_prussian,"While, with the commercialization of the first generation Na-ion batteries by CATL (https://www.catl.com/en/news/665.html), where Prussian while was applied as cathode material, Prussian Blue Analogues have shown great potential and attracted wide interest. the space group Fm3m related to the partly occupied vacancies, which might result from the conditions of the crystal growth."
10/1039_d5ya00110b_firstprinciples_calculation_of_a_1tvs,"Furthermore, VS 2 /Gr demonstrates remarkable energy storage capacity, achieving a maximum specific capacity of 1156 mAh g À1 for Li-ion storage and 770 mAh g À1 for Na-ion storage."
10/54097_xca1qg21_optimization_of_electrode_materials_for,"Economic and resource factors are crucial when evaluating anode materials for EV batteries, particularly when contrasting lithium-ion and sodium-ion systems."
10/1038_s41563_025_02287_7_solvent_cointercalation_in_layered_cathode,The P3-or O3-type layered sulfides show a similar degree of voltage hysteresis for intercalation and co-intercalation processes.
10/1002_aenm_202303833_review_insights_on_hard_carbon,"Regarding the hard carbon reviews, they have presented insights related to the synthesis, performance and storage mechanisms in most cases , and few have focused on specific topics, that is, hard carbon biomass 59,60 , the Coulombic efficiency of hard carbons 61 and their storage mechanisms 47 ."
10/3389_fmats_2021_820671_improving_the_sodium_storage_performance,"The sodium storage ability of fabricated carbonaceous anodes was compared through various electrochemical tests, including galvanostatic discharging/charging, electrochemical impedance spectroscopy (EIS), and cyclic voltammetry (CV)."
10/1007_s40820_018_0225_1_nitrogendoped_tio2c_composite_nanofibers_with,"Nevertheless, it is still challenging to find a suitable host material with a larger space suitable for sodium ion insertion/extraction, which is necessary because the Na ? ion (1.06 A ˚) is ca. 40% larger than the Li ? ion (0.76 A ˚) ."
10/1038_s41467_025_57665_1_enabling_the_synthesis_of_o3type,"The self-standing electrodes were assembled into 2032coin cells (316 L, Canrd) with one piece of glass fiber (GF/B, Whatman) as the separator, and sodium metal (99.8%, Sigma-Aldrich) as the anode."
10/26599_jac_2023_9220738_improving_ionic_conductivity_of_vonalpentype,"Furthermore, the introduction of aliovalent heteroatoms can increase the Na + ion ratio in the NASICON compounds for charge compensation, which can lead to an improvement in the ionic conductivities owing to the increased concentration of Na + charge carriers ."
10/1039_c9na00521h_engineering_dopingvacancy_double_defects_and,"Overall, this work provides new insight into heteroatom-doping and anion vacancy doubledefective Mn-O-F ultrane nanowires anode to improve the Li/Na-ion storage and will have a signicant impact on the development of advanced electrochemical energy storage devices."
10/3389_fmats_2021_820671_improving_the_sodium_storage_performance,"Generally, the urchinlike sphere morphology, combined with the abundant N and S codoping, can not only provide fast transportation pathways for the electrons/ions but also offer rich sites toward sodium storage, boosting the electrochemical performances (Augustyn et al., 2014;Dahbi et al., 2016;Wang et al., 2018b)."
10/1021_acsaem_0c01614_sodium_storage_mechanism_investigations_through,"Overall, the calculated intercalation energies show that sodium intercalation increases with increasing the interlayer distance (Fig."
10/2477_jccj_2014_0009_a_material_design_on_radioactive,"After the accident of Fukushima's nuclear power plant, soil contamination was caused by radioactive cesium. in this study, the new cesium-adsorbent: Cs 1-x na x Mn ii (Cn) 3 Prussian blue analogue was theoretically designed to solve the problem. in Prussian blue (iron cyano-compound), both water defect and iron vacancy are closely related to cesiumadsorption."
10/1039_d5ee00415b_benchmarking_stateoftheart_sodiumion_battery_cells,"Based on a screening of commercially pursued SIB active materials and their electrochemical properties, a comprehensive modeling approach was applied to determine the energy density and CF of SIB cells produced at gigafactory-scale."
10/54254_2977_3903_2025_21919_review_of_sodiumion_battery_research,"This paper references a large number of studies on sodium-ion batteries, aiming to analyze and summarize the research issues related to SIBs and the impact of their development on societal progress."
10/1002_aenm_201602894_mechanism_of_naion_storage_in,"Since then a worldwide research effort has enhanced this storage capacity, and advanced numerous processes for synthesizing hard carbon from abundant feed stocks, such as sucrose 10 , peat moss 11 , cotton 12 , wood 13 and even banana skins 14 ."
10/1039_d5nr01053e_controlling_the_structural_and_sodium,These findings imply the potential to regulate the microstructure of hard carbons through the initial heating rate during carbonization. † Electronic supplementary information (ESI) available.
10/1021_acs_inorgchem_6b01078_quantification_of_honeycomb_numbertype_stacking,"Some α-NaFeO 2 type Na-ion battery systems with both high capacity and high initial discharge voltages have been identified, though the steeply-sloping voltage profile of these systems limits their use in applications 12,18,19 ."
10/20517_energymater_2024_306_recent_research_progress_in_the,"In this context, sodium-ion batteries (SIBs) have been the subject of appreciable research as they are not subject to resource constraints, and can be operated safely at a low cost ."
10/1039_d2dt02686d_on_the_compatibility_of_high,As mentioned earlier the rate capability can be an issue for hard carbon anodes in sodium-ion batteries. 21 This is partially an inherent consequence of the low operating potential of hard carbon.
10/1039_d3ya00241a_hard_carbons_potential_anode_materials,"In order to overcome the limitation of single hard carbons, it is undoubtedly a new development trend to make up the deficiency by multiphase composites."
10/1039_d3ya00241a_hard_carbons_potential_anode_materials,"Obviously, it is significant to shorten the diffusion path and enlarge the interlayer spacing for ameliorating the electrochemical properties of intercalated-energy-storage hard carbon anodes."
10/1007_s43979_023_00077_1_moderate_active_fe3_doping_enables,"With the widening of voltage range, the P2-type Na x TMO 2 is susceptible to phase transition (P2-O2/PO4) or irreversible oxygen redox, leading to drastic volume change and poor structural stability ."
10/1039_c5ta10568d_inexpensive_colloidal_snsb_nanoalloys_as,"As can be seen in Fig. 4, the SnSb/Na 1.5 VPO 4.8 F 0.7 Na-ion full-cell delivers a stable capacity of $400 mA h g À1 for at least 60 cycles, with an average discharge voltage of 2.7 V (Fig."
10/3389_fchem_2018_00396_porous_nati2po43_nanocubes_anchored_on,"Additionally, the HR-TEM image of a representative nanocube (Figure 3D) implies that the interplanar spacing is ca. 0.365 nm, in good agreement with the plane of NASICON-type phase (Ye et al., 2017)."
10/1557_s43581_022_00029_9_perspective_design_of_cathode_materials,"Among different candidates, Na-ion batteries (NIBs) hold a great promise mainly due to the fact that, unlike Li, sodium (Na) is an earth abundant and cost-effective element."
10/1021_acs_inorgchem_6b01078_quantification_of_honeycomb_numbertype_stacking,"This is a high voltage for a Na-ion battery, leading to a good calculated ceramic energy density of 325 Wh/Kg when the discharge curve is integrated."
10/1515_ijmr_2022_0243_synthesis_of_nasub3subfesub2subposub4subsub3sub_with_nasicontype,"No less important is the ""phase chemical composition -electrochemical activity"" correlation of NASICON-type obtained in this way."
10/1007_s43979_023_00053_9_research_progresses_in_o3type_nifemn,"The pouch-type full cells were assembled with MgO coating NaNi 0.5 Mn 0.5 O 2 and hard carbon, delivers excellent capacity retention of 70% after 200 cycles at 1.0-4.1 V (Fig. 5d)."
10/1007_s42823_025_00942_2_sodiuminduced_phase_shift_in_namno2,"The XRD analysis of the powders was conducted using the Rietveld refinement process, revealing two main phases, α-NaMnO 2 and β-NaMnO 2 , with increasing Na content."
10/1021_acsaem_0c01352_vacancyenhanced_oxygen_redox_reversibility_in,Similar characteristic peaks have been reported for other P2-and P3-type materials and typically arise from ordering in the transition metal layers.
10/1039_d5ra02547h_influence_of_phosphorus_activation_and,"For HC-1250 °C, the storage mechanism is mainly dominated by sodium ion intercalation."
10/1002_aenm_201702781_insights_into_the_nasupsup_storage,"It is notable that a anodic peak appear around 0.5 V for sample HC-P15, possibly corresponding to the formation of Na-P bonds. [9a] X-ray photoelectron spectroscopy (XPS) was employed to identify the oxidation states of phosphorus in hard carbons."
10/1039_d4ta07954j_highconductivity_lowtemperature_sinteringcompatible_nasicon_solid,"In summary, we demonstrated that the addition of (optimally 10 wt%) mixture of Na 2 CO 3 and B 2 O 3 to NASICON-based materials may produce highly conductive Na + ion solid electrolyte, achieving a maximum conductivity of 4.5 × 10 -3 S cm -1 at 25 °C, with a reduced sintering temperature of 900 °C."
10/20517_microstructures_2024_01_multiphase_manganesebased_layered_oxide_for,"While the interlayer spacing of P2-type structure is larger, the P2-type Mn-based layered material has a wider sodium ion transport channel ."
10/54097_jpaw4474_research_of_cathode_materials_for,"There are two-dimensional channels in the lattice structure of the layered transition metal oxides for sodium ions diffusion, as shown in Figure 4, which allow sodium ions intercalated/deintercalated extremely rapidly from the cathode."
10/1038_srep40910_reduced_graphene_oxide_as_a,This demonstrates that sodium ions face relatively higher polarizations with cycling.
10/1002_aenm_202303833_review_insights_on_hard_carbon,"Interestingly, Qian et al. 165 synthesized hard carbon materials by pyrolysis of sulphurdoped polyacrylonitrile at various pyrolysis temperatures (800 °C to 1200 °C)."
10/1039_d0ta06024k_an_epoxyreinforced_ceramic_sheet_as,A cross-sectional SEM image of the NASICON pellet sintered at 1100 ℃ is shown in Figure 3(b).
